Date;Price
22.09.2016;198,2811
21.09.2016;197,7754
20.09.2016;195,1792
19.09.2016;194,9215
16.09.2016;194,2746
15.09.2016;193,8269
14.09.2016;192,397
13.09.2016;192,7511
12.09.2016;195,3082
09.09.2016;195,1375
08.09.2016;198,1531
07.09.2016;198,9787
06.09.2016;198,801
05.09.2016;199,2577
02.09.2016;198,432
01.09.2016;196,5537
31.08.2016;197,1704
30.08.2016;197,4488
29.08.2016;197,2864
26.08.2016;195,4531
25.08.2016;195,4779
24.08.2016;196,4028
23.08.2016;196,1005
22.08.2016;195,3068
19.08.2016;195,4652
18.08.2016;196,032
17.08.2016;196,2467
16.08.2016;196,5478
15.08.2016;198,5009
12.08.2016;198,3385
11.08.2016;198,2474
10.08.2016;197,4845
09.08.2016;198,3919
08.08.2016;198,0783
05.08.2016;197,5624
04.08.2016;195,2143
03.08.2016;193,947
02.08.2016;193,558
01.08.2016;195,7289
29.07.2016;195,7403
28.07.2016;196,078
27.07.2016;197,5827
26.07.2016;197,551
25.07.2016;197,4849
22.07.2016;197,7339
21.07.2016;197,254
20.07.2016;197,2233
19.07.2016;196,2274
18.07.2016;195,8512
15.07.2016;195,36
14.07.2016;194,9863
13.07.2016;193,8591
12.07.2016;194,0184
11.07.2016;192,7503
08.07.2016;191,0875
07.07.2016;188,5004
06.07.2016;187,9898
05.07.2016;188,1169
04.07.2016;189,4671
01.07.2016;189,4029
30.06.2016;188,9232
29.06.2016;186,7984
28.06.2016;183,613
27.06.2016;181,7264
24.06.2016;183,4762
23.06.2016;188,681
22.06.2016;187,2689
21.06.2016;187,4334
20.06.2016;185,7634
17.06.2016;183,9905
16.06.2016;184,7477
15.06.2016;184,0339
14.06.2016;183,9732
13.06.2016;184,1761
10.06.2016;186,5075
09.06.2016;188,7082
08.06.2016;188,7302
07.06.2016;188,715
06.06.2016;187,4241
03.06.2016;187,0254
02.06.2016;189,2674
01.06.2016;188,8738
31.05.2016;189,7277
30.05.2016;189,8582
27.05.2016;189,9023
26.05.2016;188,4466
25.05.2016;188,7003
24.05.2016;186,6603
23.05.2016;184,115
20.05.2016;184,2189
19.05.2016;183,012
18.05.2016;183,4033
17.05.2016;182,6777
16.05.2016;183,3078
13.05.2016;182,5211
12.05.2016;182,4439
11.05.2016;182,2974
10.05.2016;183,7222
09.05.2016;181,5832
06.05.2016;181,3074
05.05.2016;181,5546
04.05.2016;180,3979
03.05.2016;181,5849
02.05.2016;183,64
29.04.2016;184,2038
28.04.2016;187,1929
27.04.2016;188,0657
26.04.2016;188,0488
25.04.2016;188,3015
22.04.2016;189,2577
21.04.2016;189,056
20.04.2016;188,6606
19.04.2016;187,8251
18.04.2016;186,6339
15.04.2016;186,7213
